phase,uniqueid,distractor,target,type,response,hit,rt,trialNum,initrt,stimOn,stimOff,startTime,moneyEarned,sessionNum,blockNum,blockType,intervalNum,intervalType,intervalLength,iti,isi
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,RED,yellow,incongruent,yellow,1.0,1253.0,1.0,,1668960036753.0,1668960038006.0,1668960036753.0,0.0,0.0,1.0,Mixed_1000,1.0,Speed,5000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,BLUE,blue,congruent,blue,1.0,551.0,2.0,,1668960038523.0,1668960039074.0,1668960036753.0,0.0,0.0,1.0,Mixed_1000,1.0,Speed,5000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,YELLOW,yellow,congruent,yellow,1.0,644.0,3.0,,1668960039593.0,1668960040237.0,1668960036753.0,0.0,0.0,1.0,Mixed_1000,1.0,Speed,5000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,GREEN,blue,incongruent,green,0.0,603.0,4.0,,1668960040743.0,1668960041346.0,1668960036753.0,0.0,0.0,1.0,Mixed_1000,1.0,Speed,5000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,,,,,,,,,,,,0.0,0.0,1.0,Mixed_1000,1.0,Speed,5000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,RED,red,congruent,red,1.0,524.0,1.0,,1668960047048.0,1668960047572.0,1668960047048.0,0.0,0.0,1.0,Mixed_1000,2.0,Accuracy,6000.0,1000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,BLUE,yellow,incongruent,yellow,1.0,525.0,2.0,,1668960048087.0,1668960048612.0,1668960047048.0,0.0,0.0,1.0,Mixed_1000,2.0,Accuracy,6000.0,1000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,GREEN,red,incongruent,red,1.0,594.0,3.0,,1668960049125.0,1668960049719.0,1668960047048.0,0.0,0.0,1.0,Mixed_1000,2.0,Accuracy,6000.0,1000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,BLUE,green,incongruent,blue,0.0,571.0,4.0,,1668960050241.0,1668960050812.0,1668960047048.0,0.0,0.0,1.0,Mixed_1000,2.0,Accuracy,6000.0,1000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,RED,red,congruent,red,1.0,566.0,5.0,,1668960051325.0,1668960051891.0,1668960047048.0,0.0,0.0,1.0,Mixed_1000,2.0,Accuracy,6000.0,1000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,,,,,,,,,,,,0.0,0.0,1.0,Mixed_1000,2.0,Accuracy,6000.0,1000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,BLUE,blue,congruent,red,0.0,798.0,1.0,,1668960059350.0,1668960060148.0,1668960059349.0,0.0,0.0,1.0,Mixed_1000,3.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,GREEN,yellow,incongruent,yellow,1.0,676.0,2.0,,1668960060658.0,1668960061334.0,1668960059349.0,0.0,0.0,1.0,Mixed_1000,3.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,YELLOW,red,incongruent,red,1.0,587.0,3.0,,1668960061855.0,1668960062442.0,1668960059349.0,0.0,0.0,1.0,Mixed_1000,3.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,RED,yellow,incongruent,yellow,1.0,619.0,4.0,,1668960062956.0,1668960063575.0,1668960059349.0,0.0,0.0,1.0,Mixed_1000,3.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,GREEN,green,congruent,green,1.0,547.0,5.0,,1668960064091.0,1668960064638.0,1668960059349.0,0.0,0.0,1.0,Mixed_1000,3.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,BLUE,blue,congruent,blue,1.0,488.0,6.0,,1668960065159.0,1668960065647.0,1668960059349.0,0.0,0.0,1.0,Mixed_1000,3.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,,,,,,,,,,,,0.0,0.0,1.0,Mixed_1000,3.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,BLUE,blue,congruent,blue,1.0,776.0,1.0,,1668960072638.0,1668960073414.0,1668960072637.0,0.0,0.0,1.0,Mixed_1000,4.0,Accuracy,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,YELLOW,red,incongruent,red,1.0,529.0,2.0,,1668960073928.0,1668960074457.0,1668960072637.0,0.0,0.0,1.0,Mixed_1000,4.0,Accuracy,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,BLUE,green,incongruent,green,1.0,592.0,3.0,,1668960074963.0,1668960075555.0,1668960072637.0,0.0,0.0,1.0,Mixed_1000,4.0,Accuracy,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,RED,blue,incongruent,blue,1.0,869.0,4.0,,1668960076062.0,1668960076931.0,1668960072637.0,0.0,0.0,1.0,Mixed_1000,4.0,Accuracy,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,YELLOW,yellow,congruent,yellow,1.0,511.0,5.0,,1668960077439.0,1668960077950.0,1668960072637.0,0.0,0.0,1.0,Mixed_1000,4.0,Accuracy,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,GREEN,red,incongruent,red,1.0,716.0,6.0,,1668960078460.0,1668960079176.0,1668960072637.0,0.0,0.0,1.0,Mixed_1000,4.0,Accuracy,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,,,,,,,,,,,,0.0,0.0,1.0,Mixed_1000,4.0,Accuracy,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,GREEN,green,congruent,green,1.0,670.0,1.0,,1668960085927.0,1668960086597.0,1668960085927.0,0.0,0.0,1.0,Mixed_1000,5.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,RED,yellow,incongruent,yellow,1.0,795.0,2.0,,1668960087107.0,1668960087902.0,1668960085927.0,0.0,0.0,1.0,Mixed_1000,5.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,GREEN,green,congruent,green,1.0,570.0,3.0,,1668960088416.0,1668960088986.0,1668960085927.0,0.0,0.0,1.0,Mixed_1000,5.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,BLUE,yellow,incongruent,yellow,1.0,677.0,4.0,,1668960089497.0,1668960090174.0,1668960085927.0,0.0,0.0,1.0,Mixed_1000,5.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,YELLOW,red,incongruent,red,1.0,423.0,5.0,,1668960090695.0,1668960091118.0,1668960085927.0,0.0,0.0,1.0,Mixed_1000,5.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,GREEN,green,congruent,green,1.0,739.0,6.0,,1668960091635.0,1668960092374.0,1668960085927.0,0.0,0.0,1.0,Mixed_1000,5.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,,,,,,,,,,,,0.0,0.0,1.0,Mixed_1000,5.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,GREEN,red,incongruent,red,1.0,495.0,1.0,,1668960098721.0,1668960099216.0,1668960098721.0,0.0,0.0,1.0,Mixed_1000,6.0,Accuracy,6000.0,1500.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,YELLOW,yellow,congruent,yellow,1.0,481.0,2.0,,1668960099724.0,1668960100205.0,1668960098721.0,0.0,0.0,1.0,Mixed_1000,6.0,Accuracy,6000.0,1500.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,BLUE,blue,congruent,green,0.0,721.0,3.0,,1668960100716.0,1668960101437.0,1668960098721.0,0.0,0.0,1.0,Mixed_1000,6.0,Accuracy,6000.0,1500.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,GREEN,yellow,incongruent,yellow,1.0,652.0,4.0,,1668960101947.0,1668960102599.0,1668960098721.0,0.0,0.0,1.0,Mixed_1000,6.0,Accuracy,6000.0,1500.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,BLUE,blue,congruent,blue,1.0,392.0,5.0,,1668960103112.0,1668960103504.0,1668960098721.0,0.0,0.0,1.0,Mixed_1000,6.0,Accuracy,6000.0,1500.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,RED,green,incongruent,green,1.0,664.0,6.0,,1668960104024.0,1668960104688.0,1668960098721.0,0.0,0.0,1.0,Mixed_1000,6.0,Accuracy,6000.0,1500.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,,,,,,,,,,,,0.0,0.0,1.0,Mixed_1000,6.0,Accuracy,6000.0,1500.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,GREEN,red,incongruent,red,1.0,521.0,1.0,,1668960110988.0,1668960111509.0,1668960110988.0,0.0,0.0,1.0,Mixed_1000,7.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,BLUE,blue,congruent,blue,1.0,786.0,2.0,,1668960112013.0,1668960112799.0,1668960110988.0,0.0,0.0,1.0,Mixed_1000,7.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,YELLOW,red,incongruent,red,1.0,565.0,3.0,,1668960113303.0,1668960113868.0,1668960110988.0,0.0,0.0,1.0,Mixed_1000,7.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,RED,yellow,incongruent,yellow,1.0,494.0,4.0,,1668960114383.0,1668960114877.0,1668960110988.0,0.0,0.0,1.0,Mixed_1000,7.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,BLUE,blue,congruent,blue,1.0,549.0,5.0,,1668960115391.0,1668960115940.0,1668960110988.0,0.0,0.0,1.0,Mixed_1000,7.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,YELLOW,red,incongruent,red,1.0,631.0,6.0,,1668960116442.0,1668960117073.0,1668960110988.0,0.0,0.0,1.0,Mixed_1000,7.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,,,,,,,,,,,,0.0,0.0,1.0,Mixed_1000,7.0,Speed,7000.0,2000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,RED,yellow,incongruent,yellow,1.0,781.0,1.0,,1668960123782.0,1668960124563.0,1668960123782.0,0.0,0.0,1.0,Mixed_1000,8.0,Accuracy,5000.0,1500.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,GREEN,green,congruent,green,1.0,546.0,2.0,,1668960125075.0,1668960125621.0,1668960123782.0,0.0,0.0,1.0,Mixed_1000,8.0,Accuracy,5000.0,1500.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,YELLOW,blue,incongruent,blue,1.0,430.0,3.0,,1668960126126.0,1668960126556.0,1668960123782.0,0.0,0.0,1.0,Mixed_1000,8.0,Accuracy,5000.0,1500.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,BLUE,yellow,incongruent,yellow,1.0,540.0,4.0,,1668960127069.0,1668960127609.0,1668960123782.0,0.0,0.0,1.0,Mixed_1000,8.0,Accuracy,5000.0,1500.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,RED,red,congruent,red,1.0,414.0,5.0,,1668960128120.0,1668960128534.0,1668960123782.0,0.0,0.0,1.0,Mixed_1000,8.0,Accuracy,5000.0,1500.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,,,,,,,,,,,,0.0,0.0,1.0,Mixed_1000,8.0,Accuracy,5000.0,1500.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,BLUE,yellow,incongruent,yellow,1.0,531.0,1.0,,1668960134078.0,1668960134609.0,1668960134078.0,0.0,0.0,1.0,Mixed_1000,9.0,Speed,7000.0,1000.0,1000.0
MainBlock,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,GREEN,green,congruent,green,1.0,562.0,2.0,,1668960135115.0,1668960135677.0,1668960134078.0,0.0,0.0,1.0,Mixed_1000,9.0,Speed,7000.0,1000.0,1000.0
