phase,uniqueid,distractor,target,type,response,hit,rt,trialNum,initrt,stimOn,stimOff,startTime,moneyEarned,sessionNum,blockNum,blockType,intervalNum,intervalType,intervalLength,iti,isi
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,BLUE,blue,congruent,blue,1.0,767.0,1.0,,1668182581151.0,1668182581918.0,1668182581150.0,0.0,0.0,1.0,Mixed_1000,1.0,Accuracy,7500.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,RED,yellow,incongruent,yellow,1.0,1160.0,2.0,,1668182582422.0,1668182583582.0,1668182581150.0,0.0,0.0,1.0,Mixed_1000,1.0,Accuracy,7500.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,BLUE,red,incongruent,red,1.0,640.0,3.0,,1668182584086.0,1668182584726.0,1668182581150.0,0.0,0.0,1.0,Mixed_1000,1.0,Accuracy,7500.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,YELLOW,yellow,congruent,yellow,1.0,659.0,4.0,,1668182585227.0,1668182585886.0,1668182581150.0,0.0,0.0,1.0,Mixed_1000,1.0,Accuracy,7500.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,BLUE,blue,congruent,blue,1.0,624.0,5.0,,1668182586390.0,1668182587014.0,1668182581150.0,0.0,0.0,1.0,Mixed_1000,1.0,Accuracy,7500.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,GREEN,yellow,incongruent,yellow,1.0,857.0,6.0,,1668182587518.0,1668182588375.0,1668182581150.0,0.0,0.0,1.0,Mixed_1000,1.0,Accuracy,7500.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,,,,,,,,,,,,0.0,0.0,1.0,Mixed_1000,1.0,Accuracy,7500.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,RED,red,congruent,red,1.0,575.0,1.0,,1668182594663.0,1668182595238.0,1668182594662.0,0.0,0.0,1.0,Mixed_1000,2.0,Speed,7000.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,GREEN,yellow,incongruent,yellow,1.0,614.0,2.0,,1668182595743.0,1668182596357.0,1668182594662.0,0.0,0.0,1.0,Mixed_1000,2.0,Speed,7000.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,BLUE,blue,congruent,blue,1.0,487.0,3.0,,1668182596863.0,1668182597350.0,1668182594662.0,0.0,0.0,1.0,Mixed_1000,2.0,Speed,7000.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,RED,yellow,incongruent,yellow,1.0,655.0,4.0,,1668182597855.0,1668182598510.0,1668182594662.0,0.0,0.0,1.0,Mixed_1000,2.0,Speed,7000.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,GREEN,green,congruent,green,1.0,616.0,5.0,,1668182599014.0,1668182599630.0,1668182594662.0,0.0,0.0,1.0,Mixed_1000,2.0,Speed,7000.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,BLUE,red,incongruent,red,1.0,726.0,6.0,,1668182600135.0,1668182600861.0,1668182594662.0,0.0,0.0,1.0,Mixed_1000,2.0,Speed,7000.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,,,,,,,,,,,,0.0,0.0,1.0,Mixed_1000,2.0,Speed,7000.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,YELLOW,yellow,congruent,yellow,1.0,846.0,1.0,,1668182607679.0,1668182608525.0,1668182607678.0,0.0,0.0,1.0,Mixed_1000,3.0,Accuracy,8000.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,BLUE,green,incongruent,green,1.0,903.0,2.0,,1668182609030.0,1668182609933.0,1668182607678.0,0.0,0.0,1.0,Mixed_1000,3.0,Accuracy,8000.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,GREEN,yellow,incongruent,yellow,1.0,750.0,3.0,,1668182610439.0,1668182611189.0,1668182607678.0,0.0,0.0,1.0,Mixed_1000,3.0,Accuracy,8000.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,YELLOW,red,incongruent,red,1.0,663.0,4.0,,1668182611694.0,1668182612357.0,1668182607678.0,0.0,0.0,1.0,Mixed_1000,3.0,Accuracy,8000.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,BLUE,blue,congruent,blue,1.0,614.0,5.0,,1668182612863.0,1668182613477.0,1668182607678.0,0.0,0.0,1.0,Mixed_1000,3.0,Accuracy,8000.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,RED,yellow,incongruent,yellow,1.0,734.0,6.0,,1668182613983.0,1668182614717.0,1668182607678.0,0.0,0.0,1.0,Mixed_1000,3.0,Accuracy,8000.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,,,,,,,,,,,,0.0,0.0,1.0,Mixed_1000,3.0,Accuracy,8000.0,1000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,YELLOW,yellow,congruent,yellow,1.0,550.0,1.0,,1668182622695.0,1668182623245.0,1668182622694.0,0.0,0.0,1.0,Mixed_1000,4.0,Speed,7500.0,2000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,BLUE,red,incongruent,red,1.0,653.0,2.0,,1668182623751.0,1668182624404.0,1668182622694.0,0.0,0.0,1.0,Mixed_1000,4.0,Speed,7500.0,2000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,GREEN,blue,incongruent,green,0.0,694.0,3.0,,1668182624910.0,1668182625604.0,1668182622694.0,0.0,0.0,1.0,Mixed_1000,4.0,Speed,7500.0,2000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,BLUE,yellow,incongruent,yellow,1.0,782.0,4.0,,1668182626110.0,1668182626892.0,1668182622694.0,0.0,0.0,1.0,Mixed_1000,4.0,Speed,7500.0,2000.0,1000.0
MainBlock,5cc8cab1f67ce800171cc5b2:TSS_RECONF_111022,RED,red,congruent,red,1.0,597.0,5.0,,1668182627399.0,1668182627996.0,1668182622694.0,0.0,0.0,1.0,Mixed_1000,4.0,Speed,7500.0,2000.0,1000.0
